">>>SDK TRANSLATIONS<<<",">>>SDK TRANSLATIONS<<<"
"PAYPAL_EXPRESS","Paypal Express"

"YES","Ja"
"NO","Nein"
"AUTO","Auto"
"NONE","Kein"

"DHL","DHL"
"BARTOLINI","Bartolini"

"APPROVED","Bestätigt"
"REDIRECT","Weiterleitung"
"VALID","Zulässig"
"INVALID","Unzulässig"
"BLOCKED","Blockiert"
"ENROLLED", "Eingeschrieben"
"ERROR","Fehler"

"PREAUTHORIZATION","Vorautorisierung"
"AUTHORIZATION","Autorisierung"
"CAPTURE","Einzug"
"REFUND","Rückerstattung"
"DEBIT","Lastschrift"
"CHECK3DS","3DS-Prüfung"
"ADDRESSCHECK","Adressprüfung"
"CONSUMERSCORE","Kundenprüfung"
"BANKACCOUNTCHECK","Bankdatenprüfung"
"CREDITCARDCHECK","Kreditkartenprüfung"
"GETINVOICE","Rechnungsdownload"

"INSTANT_MONEY_TRANSFER","Sofort-Überweisung"
"GIROPAY","giropay"
"EPS_ONLINE_BANK_TRANSFER","eps Online-Überweisung"
"POSTFINANCE_EFINANCE","PostFinance E-Finance"
"POSTFINANCE_CARD","PostFinance Card"
"IDEAL","iDeal"

"POST","Post"
"PDF","PDF (E-Mail)"

"INTERNET","eCommerce transaktion"
"SECURE3D","3D-Secure Transaktion"
"MOTO","Adminbestellung"

"DIRECT_DEBIT_REFUND_FEE","Rücklastschriftgebühr"
"DUNNING_CHARGE","Mahngebühr"
"DEFAULT_INTEREST","Verzugszinsen"
"SHIPPING_COSTS","Versandkosten"
"PAYMENT_REQUEST","Forderung"
"CREDIT","Gutschrift"
"RETURNS","Retoure"

"VISA","Visa"
"MASTERCARD","MasterCard"
"AMEX","American Express"
"DINERS","Diners-Club"
"JCB","JCB"
"MAESTRO_INTERNATIONAL","Maestro International"
"MAESTRO_UK","Maestro UK"
"DISCOVER","Discover"
"CARTE_BLEUE","Carte Bleue"

"INFOSCORE_HARD","Infoscore (Harte Merkmale)"
"INFOSCORE_ALL","Infoscore (Alle Merkmale)"
"INFOSCORE_ALL_BONI","Infoscore (Alle Merkmale + Boniscore)"

"GREEN","Grün"
"YELLOW","Gelb"
"RED","Rot"

"REGULAR","Reguläre Prüfung"
"POS_BLACKLIST","Prüfung gegen POS_Sperrliste"

"RESULT_A","Hausnummer ist ok, Postleitzahl ist nicht ok"
"RESULT_F","Hausnummer und Postleitzahl sind ok"
"RESULT_N","Weder Hausnummer noch Postleitzahl sind ok"
"RESULT_U","Anfrage wird nicht unterstützt"
"RESULT_Z","Hausnummer ist nicht ok, aber Postleitzahl ist ok"

"BASIC","Basic"
"PERSON","Person"

"ADDRESS_CORRECT","Adresse korrekt"
"ADDRESS_CORRECTABLE","Adresse korigierbar"
"ADDRESS_NONE_CORRECTABLE","Adresse nicht korigierbar"

"PPB","Vor- & Nachname bekannt"
"PHB","Nachname bekannt"
"PAB","Vor- & Nachname nicht bekannt"
"PKI","Mehrdeutigkeit bei Name zu Anschrift"
"PNZ","Nicht zustellbar"
"PPV","Person verstorben"
"PPF","Adresse postalisch falsch"

"DEBITPAYMENT","Lastschrift"
"CREDITCARD","Kreditkarte"
"ADVANCEPAYMENT","Vorkasse"
"INVOICE","Rechnung"
"ONLINEBANKTRANSFER","Onlineüberweisung"
"CASHONDELIVERY","Nachnahme"
"WALLET","Wallet"

"TEST","Test"
"LIVE","Live"

"LVL_1","1.Mahnstufe"
"LVL_2","2.Mahnstufe"
"LVL_3","3.Mahnstufe"
"LVL_4","4.Mahnstufe"
"LVL_5","Übergabe an Inkassobüro"
"LVL_A","Mahnlauf eingestellt"
"LVL_S","Mahnlauf beginnt von vorn"
"LVL_M","Mahnvorschlagsliste"
"LVL_I","Inkassovorschlagsliste"

"STATUS_OK","Status Ok"

"INSUFFICIENT_FUNDS","Mangel an Deckung"
"ACCOUNT_EXPIRED","Konto erloschen"
"UNKNOWN_ACCOUNT_NAME","Konto-Nr. / Name nicht identisch, falsch oder Sparkonto"
"NO_DIRECT_DEBIT","Kein Lastschriftverfahren"
"RECALL","Rückruf"
"OBJECTION","Widerspruch"
"RETURNS","Rückgabe"
"DEBIT_NOT_COLLECTABLE","Lastschrift nicht einziehbar"
"CREDITCARD_CHARGEBACK","Kreditkarten Chargeback"
"CREDITCARD_NOT_COLLECTABLE","Kreditkarte nicht einziehbar"

"APPOINTED","Erfolg"
"CAPTURE","Einzug"
"PAID","Zahlung"
"UNDERPAID","Unterzahlung"
"CANCELATION","Rückbelastung"
"REFUND","Rückerstattung"
"DEBIT","Forderung"
"REMINDER","Mahnstatus"
"VAUTHORIZATION","Buchung"
"VSETTLEMENT","Abrechnung"
"TRANSFER","Umbuchung"
"INVOICE","Rechnungsbeleg"
